Entry	AlphaFoldDB	PDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblProtists
A0A2I6J488	A0A2I6J488;					
A0A2I6J489	A0A2I6J489;					
A0A2I6J4A5	A0A2I6J4A5;					
A0A2I6J4A6	A0A2I6J4A6;					
A0A2I6J4A7	A0A2I6J4A7;					
A0A2I6J4B0	A0A2I6J4B0;					
A0A2I6J4B1	A0A2I6J4B1;					
A0A2I6J4B5	A0A2I6J4B5;					
A0A2I6J4B6	A0A2I6J4B6;					
A0A2I6J4C1	A0A2I6J4C1;					
A0A2I6J4C3	A0A2I6J4C3;					
A0A2I6J4C7	A0A2I6J4C7;					
A0A2I6J4D2	A0A2I6J4D2;					
A0A2I6J4D3	A0A2I6J4D3;					
A0A2I6J4D4	A0A2I6J4D4;					
A0A2I6J4D9	A0A2I6J4D9;					
A0A2I6J4E1	A0A2I6J4E1;					
A0A2I6J4E2	A0A2I6J4E2;					
A0A2I6J4E5	A0A2I6J4E5;					
A0A2I6PCQ9	A0A2I6PCQ9;					
A0A2I6PN72	A0A2I6PN72;					
A0A2I6PN74	A0A2I6PN74;					
A0A2I6PN76	A0A2I6PN76;					
A0A2I6PN79	A0A2I6PN79;					
A0A2I6PN80	A0A2I6PN80;					
A0A2I6PN81	A0A2I6PN81;					
A0A2I6PN83	A0A2I6PN83;					
A0A2I6PN85	A0A2I6PN85;					
A0A2I6PN87	A0A2I6PN87;					
A0A2I6PN88	A0A2I6PN88;					
A0A2I6PN91	A0A2I6PN91;					
A0A2I6PN98	A0A2I6PN98;					
A0A2I6PNA0	A0A2I6PNA0;					
A0A2I6Q780	A0A2I6Q780;					
A0A2I6Q789	A0A2I6Q789;					
A0A2I6Q790	A0A2I6Q790;					
A0A2I6Q792	A0A2I6Q792;					
A0A2I6Q794	A0A2I6Q794;					
A0A2I6Q795	A0A2I6Q795;					
A0A2I6Q796	A0A2I6Q796;					
A0A2I6Q797	A0A2I6Q797;					
A0A2I6Q798	A0A2I6Q798;					
A0A2I6Q799	A0A2I6Q799;					
A0A2I6Q7A0	A0A2I6Q7A0;					
A0A2I6Q7A5	A0A2I6Q7A5;					
A0A2I6Q7A6	A0A2I6Q7A6;					
A0A2I6Q7A7	A0A2I6Q7A7;					
A0A2I6Q7B0	A0A2I6Q7B0;					
A0A2I6Q7B1	A0A2I6Q7B1;					
A0A2I6Q7B2	A0A2I6Q7B2;					
A0A2I6Q7B3	A0A2I6Q7B3;					
A0A2I6Q7B4	A0A2I6Q7B4;					
A0A2I6Q7B6	A0A2I6Q7B6;					
A0A2I6Q7C0	A0A2I6Q7C0;					
A0A2I6Q7C1	A0A2I6Q7C1;					
A0A2I6Q7C3	A0A2I6Q7C3;					
A0A2I6Q7C4	A0A2I6Q7C4;					
A0A2I6Q7C5	A0A2I6Q7C5;					
A0A2I6Q7C7	A0A2I6Q7C7;					
A0A2I6Q7C8	A0A2I6Q7C8;					
A0A2I6Q7C9	A0A2I6Q7C9;					
A0A2I6Q7D4	A0A2I6Q7D4;					
A0A2I6Q7E1	A0A2I6Q7E1;					
A0A2I6Q7E2	A0A2I6Q7E2;					
A0A2I6R6F9	A0A2I6R6F9;					
A0A2I6R6H8	A0A2I6R6H8;					
A0A2I6R6J5	A0A2I6R6J5;					
A0A2I6SQU3	A0A2I6SQU3;					
A0A2I6SQU8	A0A2I6SQU8;					
A0A2I6U1K5	A0A2I6U1K5;					
A0A2I6U1Q3	A0A2I6U1Q3;					
A0A2I6ZMX6	A0A2I6ZMX6;					
A0A2I7FRK9	A0A2I7FRK9;					
A0A2I7FRL6	A0A2I7FRL6;					
A0A2I7FSR9	A0A2I7FSR9;					
A0A2I7FSS4	A0A2I7FSS4;					
A0A2I7FSS5	A0A2I7FSS5;					
A0A2I7FSS6	A0A2I7FSS6;					
A0A2I7FSS7	A0A2I7FSS7;					
A0A2I7FSS9	A0A2I7FSS9;					
A0A2I7FST0	A0A2I7FST0;					
A0A2I7FST3	A0A2I7FST3;					
A0A2I7FST4	A0A2I7FST4;					
A0A2I7FST6	A0A2I7FST6;					
A0A2I7FST7	A0A2I7FST7;					
A0A2I7FSU0	A0A2I7FSU0;					
A0A2I7FSU2	A0A2I7FSU2;					
A0A2I7FSU5	A0A2I7FSU5;					
A0A2I7FSU8	A0A2I7FSU8;					
A0A2I7FSU9	A0A2I7FSU9;					
A0A2I7FSV0	A0A2I7FSV0;					
A0A2I7FSV2	A0A2I7FSV2;					
A0A2I7FSV3	A0A2I7FSV3;					
A0A2I7FSV4	A0A2I7FSV4;					
A0A2I7FSV7	A0A2I7FSV7;					
A0A2I7FSV9	A0A2I7FSV9;					
A0A2I7FSW1	A0A2I7FSW1;					
A0A2I7FSX1	A0A2I7FSX1;					
A0A2I7FSX2	A0A2I7FSX2;					
A0A2I7FSY0	A0A2I7FSY0;					
A0A2I7FSY1	A0A2I7FSY1;					
A0A2I7MM73	A0A2I7MM73;					
A0A2I7VTB5	A0A2I7VTB5;					
A0A2I8B349	A0A2I8B349;					
A0A2I8B350	A0A2I8B350;					
A0A2I8B351	A0A2I8B351;					
A0A2I8B356	A0A2I8B356;					
A0A2I8B359	A0A2I8B359;					
A0A2I8B360	A0A2I8B360;					
A0A2I8B363	A0A2I8B363;					
A0A2I8B364	A0A2I8B364;					
A0A2I8B365	A0A2I8B365;					
A0A2I8B366	A0A2I8B366;					
A0A2I8B367	A0A2I8B367;					
A0A2I8B368	A0A2I8B368;					
A0A2I8B369	A0A2I8B369;					
A0A2I8B370	A0A2I8B370;					
A0A2I8B371	A0A2I8B371;					
A0A2I8B373	A0A2I8B373;					
A0A2I8B374	A0A2I8B374;					
A0A2I8B375	A0A2I8B375;					
A0A2I8B376	A0A2I8B376;					
A0A2I8B377	A0A2I8B377;					
A0A2I8B378	A0A2I8B378;					
A0A2I8B379	A0A2I8B379;					
A0A2I8B381	A0A2I8B381;					
A0A2I8B384	A0A2I8B384;					
A0A2I8B385	A0A2I8B385;					
A0A2I8B386	A0A2I8B386;					
A0A2I8B390	A0A2I8B390;					
A0A2I8B398	A0A2I8B398;					
A0A2I8B399	A0A2I8B399;					
A0A2I8B3A0	A0A2I8B3A0;					
A0A2I8B3A1	A0A2I8B3A1;					
A0A2I8B3A3	A0A2I8B3A3;					
A0A2I8B3A4	A0A2I8B3A4;					
A0A2I8B3A5	A0A2I8B3A5;					
A0A2I8B3B5	A0A2I8B3B5;					
A0A2I8B3B6	A0A2I8B3B6;					
A0A2I8B3B8	A0A2I8B3B8;					
A0A2I8B3C6	A0A2I8B3C6;					
A0A2I8B3C8	A0A2I8B3C8;					
A0A2I8B3C9	A0A2I8B3C9;					
A0A2I8B3D0	A0A2I8B3D0;					
A0A2I8B3D1	A0A2I8B3D1;					
A0A2I8B3D2	A0A2I8B3D2;					
A0A2I8B3D9	A0A2I8B3D9;					
A0A2I8B3E2	A0A2I8B3E2;					
A0A2I8B3F3	A0A2I8B3F3;					
A0A2K4N7U5	A0A2K4N7U5;					
A0A2K4N7V7	A0A2K4N7V7;					
A0A2K4N7W7	A0A2K4N7W7;					
A0A2K4N814	A0A2K4N814;					
A0A2K4N817	A0A2K4N817;					
A0A2K4N833	A0A2K4N833;					
A0A2K4N840	A0A2K4N840;					
A0A2K4N846	A0A2K4N846;					
A0A2K4N847	A0A2K4N847;					
A0A2K4N853	A0A2K4N853;					
A0A2K4N854	A0A2K4N854;					
A0A2K4N859	A0A2K4N859;					
A0A2K4N860	A0A2K4N860;					
A0A2K4N862	A0A2K4N862;					
A0A2K4N898	A0A2K4N898;					
A0A2K4N8C7	A0A2K4N8C7;					
A0A2K4N8E3	A0A2K4N8E3;					
A0A2K4N8G0	A0A2K4N8G0;					
A0A2K4N8H1	A0A2K4N8H1;					
A0A2K4N8H4	A0A2K4N8H4;					
A0A2K4N8H7	A0A2K4N8H7;					
A0A2K4N8I0	A0A2K4N8I0;					
A0A2K4N8I1	A0A2K4N8I1;					
A0A2K4U854	A0A2K4U854;					
A0A2K4X4C3	A0A2K4X4C3;					
A0A2K4X4C8	A0A2K4X4C8;					
A0A2K4X4E0	A0A2K4X4E0;					
A0A2K4X4F2	A0A2K4X4F2;					
A0A2K4X4F4	A0A2K4X4F4;					
A0A2K4X4F6	A0A2K4X4F6;					
A0A2K4X4F7	A0A2K4X4F7;					
A0A2K4X4F8	A0A2K4X4F8;					
A0A2K4X4G0	A0A2K4X4G0;					
A0A2K4X4G1	A0A2K4X4G1;					
A0A2K4X4G5	A0A2K4X4G5;					
A0A2K4X4G6	A0A2K4X4G6;					
A0A2K4X4G7	A0A2K4X4G7;					
A0A2K4X4H0	A0A2K4X4H0;					
A0A2K4X4H3	A0A2K4X4H3;					
A0A2K4X4H7	A0A2K4X4H7;					
A0A2K4X4H9	A0A2K4X4H9;					
A0A2K4X4I0	A0A2K4X4I0;					
A0A2K4X4I1	A0A2K4X4I1;					
A0A2K4X4I3	A0A2K4X4I3;					
A0A2K4X4I4	A0A2K4X4I4;					
A0A2K4X4I5	A0A2K4X4I5;					
A0A2K4X4I6	A0A2K4X4I6;					
A0A2K4X4I8	A0A2K4X4I8;					
A0A2K4X4I9	A0A2K4X4I9;					
A0A2K4X4J0	A0A2K4X4J0;					
A0A2K4X4J7	A0A2K4X4J7;					
A0A2K4X4K0	A0A2K4X4K0;					
A0A2K4X4K4	A0A2K4X4K4;					
A0A2K4X4K7	A0A2K4X4K7;					
A0A2K4X4M3	A0A2K4X4M3;					
A0A2K4X4N9	A0A2K4X4N9;					
A0A2K4XG70	A0A2K4XG70;					
A0A2K4XG97	A0A2K4XG97;					
A0A2K4XGC5	A0A2K4XGC5;					
A0A2K4XGC6	A0A2K4XGC6;					
A0A2K4XGD9	A0A2K4XGD9;					
A0A2K4XGG4	A0A2K4XGG4;					
A0A2K4XGI5	A0A2K4XGI5;					
A0A2K4XGI6	A0A2K4XGI6;					
A0A2K4XGJ3	A0A2K4XGJ3;					
A0A2K4XGJ7	A0A2K4XGJ7;					
A0A2K4XGK3	A0A2K4XGK3;					
A0A2K4XGK4	A0A2K4XGK4;					
A0A2K4XGK7	A0A2K4XGK7;					
A0A2K4XGK8	A0A2K4XGK8;					
A0A2K4XGL0	A0A2K4XGL0;					
A0A2K4XGL6	A0A2K4XGL6;					
A0A2K4XGL7	A0A2K4XGL7;					
A0A2K4XGL9	A0A2K4XGL9;					
A0A2K4XGM0	A0A2K4XGM0;					
A0A2K4XGM1	A0A2K4XGM1;					
A0A2K4XGM2	A0A2K4XGM2;					
A0A2K4XGM5	A0A2K4XGM5;					
A0A2K4XGM6	A0A2K4XGM6;					
A0A2K4XGM7	A0A2K4XGM7;					
A0A2K4XGM8	A0A2K4XGM8;					
A0A2K4XGN0	A0A2K4XGN0;					
A0A2K4XGN2	A0A2K4XGN2;					
A0A2K4XGN3	A0A2K4XGN3;					
A0A2K4XGN4	A0A2K4XGN4;					
A0A2K4XGN6	A0A2K4XGN6;					
A0A2K4XGN7	A0A2K4XGN7;					
A0A2K4XGN9	A0A2K4XGN9;					
A0A2K4XGP0	A0A2K4XGP0;					
A0A2K4XGP1	A0A2K4XGP1;					
A0A2K4XGP3	A0A2K4XGP3;					
A0A2K4XGP5	A0A2K4XGP5;					
A0A2K4XGP6	A0A2K4XGP6;					
A0A2K4XGP8	A0A2K4XGP8;					
A0A2K4XGQ2	A0A2K4XGQ2;					
A0A2K4XGQ3	A0A2K4XGQ3;					
A0A2K4XGQ5	A0A2K4XGQ5;					
A0A2K4XGQ7	A0A2K4XGQ7;					
A0A2K4XGQ9	A0A2K4XGQ9;					
A0A2K4XGR1	A0A2K4XGR1;					
A0A2K4XGR2	A0A2K4XGR2;					
A0A2K4XGR8	A0A2K4XGR8;					
A0A2K4XGS0	A0A2K4XGS0;					
A0A2K4XGS4	A0A2K4XGS4;					
A0A2K4XGT2	A0A2K4XGT2;					
A0A2K4XGT4	A0A2K4XGT4;					
A0A2K4XGT9	A0A2K4XGT9;					
A0A2K4XGU4	A0A2K4XGU4;					
A0A2K4XGZ2	A0A2K4XGZ2;					
A0A2K4XH10	A0A2K4XH10;					
A0A2K4XH18	A0A2K4XH18;					
A0A2K4XH25	A0A2K4XH25;					
A0A2K4XH82	A0A2K4XH82;					
A0A2K4Y389	A0A2K4Y389;					
A0A2K4Y3F8	A0A2K4Y3F8;					
A0A2K4Y3H1	A0A2K4Y3H1;					
A0A2K4Y3L4	A0A2K4Y3L4;					
A0A2K4Z9P4	A0A2K4Z9P4;					
A0A2K4Z9P8	A0A2K4Z9P8;					
A0A2K4Z9P9	A0A2K4Z9P9;					
A0A2K4Z9Q7	A0A2K4Z9Q7;					
A0A2K4Z9Q9	A0A2K4Z9Q9;					
A0A2K4Z9R1	A0A2K4Z9R1;					
A0A2K4Z9R8	A0A2K4Z9R8;					
A0A2K4Z9S0	A0A2K4Z9S0;					
A0A2K4Z9S5	A0A2K4Z9S5;					
A0A2K4Z9S8	A0A2K4Z9S8;					
A0A2K4Z9T1	A0A2K4Z9T1;					
A0A2K4Z9T4	A0A2K4Z9T4;					
A0A2K4Z9T5	A0A2K4Z9T5;					
A0A2K4Z9T7	A0A2K4Z9T7;					
A0A2K4Z9T8	A0A2K4Z9T8;					
A0A2K4Z9U3	A0A2K4Z9U3;					
A0A2K4Z9V5	A0A2K4Z9V5;					
A0A2K4Z9V6	A0A2K4Z9V6;					
A0A2K4Z9V8	A0A2K4Z9V8;					
A0A2K4Z9V9	A0A2K4Z9V9;					
A0A2K4Z9W0	A0A2K4Z9W0;					
A0A2K4Z9W1	A0A2K4Z9W1;					
A0A2K4Z9W2	A0A2K4Z9W2;					
A0A2K4Z9W5	A0A2K4Z9W5;					
A0A2K4Z9W7	A0A2K4Z9W7;					
A0A2K4Z9W8	A0A2K4Z9W8;					
A0A2K4Z9X1	A0A2K4Z9X1;					
A0A2K4Z9X3	A0A2K4Z9X3;					
A0A2K4Z9X7	A0A2K4Z9X7;					
A0A2K4Z9X8	A0A2K4Z9X8;					
A0A2K4Z9X9	A0A2K4Z9X9;					
A0A2K4Z9Y1	A0A2K4Z9Y1;					
A0A2K4Z9Y3	A0A2K4Z9Y3;					
A0A2K4Z9Y4	A0A2K4Z9Y4;					
A0A2K4Z9Y9	A0A2K4Z9Y9;					
A0A2K4Z9Z0	A0A2K4Z9Z0;					
A0A2K4Z9Z2	A0A2K4Z9Z2;					
A0A2K4Z9Z6	A0A2K4Z9Z6;					
A0A2K4Z9Z7	A0A2K4Z9Z7;					
A0A2K4Z9Z9	A0A2K4Z9Z9;					
A0A2K4ZA01	A0A2K4ZA01;					
A0A2K4ZA02	A0A2K4ZA02;					
A0A2K4ZA03	A0A2K4ZA03;					
A0A2K4ZA04	A0A2K4ZA04;					
A0A2K4ZA07	A0A2K4ZA07;					
A0A2K8FKQ1	A0A2K8FKQ1;					
A0A2K8FKR1	A0A2K8FKR1;					
A0A2K8FKT1	A0A2K8FKT1;					
A0A2K8FKV1	A0A2K8FKV1;					
A0A2K8FR47	A0A2K8FR47;					
A0A2K8FU56	A0A2K8FU56;					
A0A2K9UYS2	A0A2K9UYS2;					
A0A2K9UYS3	A0A2K9UYS3;					
A0A2K9UYS6	A0A2K9UYS6;					
A0A2K9UYS7	A0A2K9UYS7;					
A0A2K9UYT2	A0A2K9UYT2;					
A0A2K9UYT3	A0A2K9UYT3;					
A0A2K9UYT9	A0A2K9UYT9;					
A0A2K9UYU0	A0A2K9UYU0;					
A0A2K9UYU3	A0A2K9UYU3;					
A0A2K9UYU4	A0A2K9UYU4;					
A0A2K9UYV2	A0A2K9UYV2;					
A0A2K9UYV4	A0A2K9UYV4;					
A0A2K9VPU0	A0A2K9VPU0;					
A0A2K9VPU1	A0A2K9VPU1;					
A0A2K9VPU3	A0A2K9VPU3;					
A0A2K9VPU4	A0A2K9VPU4;					
A0A2K9VPU5	A0A2K9VPU5;					
A0A2K9VPU6	A0A2K9VPU6;					
A0A2K9VPU7	A0A2K9VPU7;					
A0A2K9VPU8	A0A2K9VPU8;					
A0A2K9VPU9	A0A2K9VPU9;					
A0A2K9VPV0	A0A2K9VPV0;					
A0A2K9VPV2	A0A2K9VPV2;					
A0A2K9VPV3	A0A2K9VPV3;					
A0A2K9VPV4	A0A2K9VPV4;					
A0A2K9VPV6	A0A2K9VPV6;					
A0A2K9VPV7	A0A2K9VPV7;					
A0A2K9VPV8	A0A2K9VPV8;					
A0A2K9VPV9	A0A2K9VPV9;					
A0A2K9VPW0	A0A2K9VPW0;					
A0A2K9VPW2	A0A2K9VPW2;					
A0A2K9VPW3	A0A2K9VPW3;					
A0A2K9VPW9	A0A2K9VPW9;					
A0A2L0RIN2	A0A2L0RIN2;					
A0A2L0RIN6	A0A2L0RIN6;					
A0A2L0RIN8	A0A2L0RIN8;					
A0A2L0V4H8	A0A2L0V4H8;					
A0A2L0V4I1	A0A2L0V4I1;					
A0A2L0V4I2	A0A2L0V4I2;					
A0A2L0V4I4	A0A2L0V4I4;					
A0A2L0V4I5	A0A2L0V4I5;					
A0A2L0V4I6	A0A2L0V4I6;					
A0A2L0V4I8	A0A2L0V4I8;					
A0A2L0V4I9	A0A2L0V4I9;					
A0A2L0V4J5	A0A2L0V4J5;					
A0A2L1DGF5	A0A2L1DGF5;					
A0A2L1DGF9	A0A2L1DGF9;					
A0A2L1DGG1	A0A2L1DGG1;					
A0A2L1DGG2	A0A2L1DGG2;					
A0A2L1DGG3	A0A2L1DGG3;					
A0A2L1DGG5	A0A2L1DGG5;					
A0A2L1DGG6	A0A2L1DGG6;					
A0A2L1DGG7	A0A2L1DGG7;					
A0A2L1DGG8	A0A2L1DGG8;					
A0A2L1DGH0	A0A2L1DGH0;					
A0A2L1DGH1	A0A2L1DGH1;					
A0A2L1DGH2	A0A2L1DGH2;					
A0A2L1DGH3	A0A2L1DGH3;					
A0A2L1DGH4	A0A2L1DGH4;					
A0A2L1DGH5	A0A2L1DGH5;					
A0A2L1DGH6	A0A2L1DGH6;					
A0A2L1DGH7	A0A2L1DGH7;					
A0A2L1DGH8	A0A2L1DGH8;					
A0A2L1DGH9	A0A2L1DGH9;					
A0A2L1DGI0	A0A2L1DGI0;					
A0A2L1DGI2	A0A2L1DGI2;					
A0A2L1DGI4	A0A2L1DGI4;					
A0A2L1DGI6	A0A2L1DGI6;					
A0A2L1DGI8	A0A2L1DGI8;					
A0A2L1DGI9	A0A2L1DGI9;					
A0A2L1DGJ2	A0A2L1DGJ2;					
A0A2L1DGJ3	A0A2L1DGJ3;					
A0A2L1DGJ5	A0A2L1DGJ5;					
A0A2L1DGJ6	A0A2L1DGJ6;					
A0A2L1DGK0	A0A2L1DGK0;					
A0A2L1DGK1	A0A2L1DGK1;					
A0A2L1DGK3	A0A2L1DGK3;					
A0A2L1DGK4	A0A2L1DGK4;					
A0A2L1DGK7	A0A2L1DGK7;					
A0A2L1DGK9	A0A2L1DGK9;					
A0A2L1DGL8	A0A2L1DGL8;					
A0A2L1K3Y8	A0A2L1K3Y8;					
A0A2L1K3Z3	A0A2L1K3Z3;					
A0A2L2DH10	A0A2L2DH10;					
A0A2L2DH19	A0A2L2DH19;					
A0A2L2DH21	A0A2L2DH21;					
A0A2L2DH25	A0A2L2DH25;					
A0A2L2DH39	A0A2L2DH39;					
A0A2L2FPA2	A0A2L2FPA2;					
A0A2P0CTB1	A0A2P0CTB1;		ENST00000629512.2;			
A0A2P0CTH9	A0A2P0CTH9;		ENST00000537325.6;			
A0A2P0CU24	A0A2P0CU24;		ENST00000627654.2;			
A0A2P0W8C0	A0A2P0W8C0;					
A0A2P0W8C1	A0A2P0W8C1;					
A0A2P0W8C7	A0A2P0W8C7;					
A0A2P0W8D2	A0A2P0W8D2;					
A0A2P0W8E3	A0A2P0W8E3;					
A0A2P0W8E6	A0A2P0W8E6;					
A0A2P0W8E8	A0A2P0W8E8;					
A0A2P0W8E9	A0A2P0W8E9;					
A0A2P0W8F1	A0A2P0W8F1;					
A0A2P0W8F3	A0A2P0W8F3;					
A0A2P0W8F7	A0A2P0W8F7;					
A0A2P0W8F8	A0A2P0W8F8;					
A0A2P0W8G0	A0A2P0W8G0;					
A0A2P0W8G1	A0A2P0W8G1;					
A0A2P0W8G2	A0A2P0W8G2;					
A0A2P0W8G3	A0A2P0W8G3;					
A0A2P0W8G4	A0A2P0W8G4;					
A0A2P0W8G8	A0A2P0W8G8;					
A0A2P0W8H1	A0A2P0W8H1;					
A0A2P0W8U1	A0A2P0W8U1;					
A0A2P0W8U9	A0A2P0W8U9;					
A0A2P0W8V2	A0A2P0W8V2;					
A0A2P1CQC7	A0A2P1CQC7;					
A0A2P1CQH4	A0A2P1CQH4;					
A0A2P1CQY3	A0A2P1CQY3;					
A0A2P1CQZ3	A0A2P1CQZ3;					
A0A2P1CR03	A0A2P1CR03;					
A0A2P1CXW3	A0A2P1CXW3;					
A0A2P1CXW7	A0A2P1CXW7;					
A0A2P1CY18	A0A2P1CY18;					
A0A2P1DTP3	A0A2P1DTP3;					
A0A2P1DTP7	A0A2P1DTP7;					
A0A2P1DTR1	A0A2P1DTR1;					
A0A2P1FZJ4	A0A2P1FZJ4;					
A0A2P1G6E1	A0A2P1G6E1;					
A0A2P1G6E3	A0A2P1G6E3;					
A0A2P1H683						
A0A2P1HA23	A0A2P1HA23;					
A0A2P1HA24	A0A2P1HA24;					
A0A2P1HA28	A0A2P1HA28;					
A0A2P1HA45	A0A2P1HA45;					
A0A2P1HA48	A0A2P1HA48;					
A0A2P1JJM6	A0A2P1JJM6;					
A0A2P1M8C0	A0A2P1M8C0;					
A0A2P1M8M7	A0A2P1M8M7;					
A0A2P9DTZ0	A0A2P9DTZ0;					
A0A2P9DTZ1	A0A2P9DTZ1;					
A0A2P9DTZ8	A0A2P9DTZ8;					
A0A2P9FID8	A0A2P9FID8;					
A0A2P9FIE8	A0A2P9FIE8;					
A0A2P9FIE9	A0A2P9FIE9;					
A0A2P9FIF5	A0A2P9FIF5;					
A0A2P9FIF6	A0A2P9FIF6;					
A0A2P9FIF7	A0A2P9FIF7;					
A0A2P9FIF8	A0A2P9FIF8;					
A0A2P9FIG3	A0A2P9FIG3;					
A0A2P9FIG5	A0A2P9FIG5;					
A0A2P9FIG6	A0A2P9FIG6;					
A0A2P9FIG8	A0A2P9FIG8;					
A0A2P9FIH2	A0A2P9FIH2;					
A0A2P9FIH4	A0A2P9FIH4;					
A0A2P9FIH7	A0A2P9FIH7;					
A0A2P9FIH8	A0A2P9FIH8;					
A0A2P9FII0	A0A2P9FII0;					
A0A2P9FII2	A0A2P9FII2;					
A0A2P9FII5	A0A2P9FII5;					
A0A2P9FIJ6	A0A2P9FIJ6;					
A0A2P9FIK5	A0A2P9FIK5;					
A0A2P9FIL6	A0A2P9FIL6;					
A0A2P9FIL8	A0A2P9FIL8;					
A0A2P9FIM2	A0A2P9FIM2;					
A0A2P9FIN2	A0A2P9FIN2;					
A0A2P9FIN4	A0A2P9FIN4;					
A0A2P9FIN9	A0A2P9FIN9;					
A0A2P9FIP2	A0A2P9FIP2;					
A0A2P9FIP7	A0A2P9FIP7;					
A0A2P9FIQ0	A0A2P9FIQ0;					
A0A2P9FIR9	A0A2P9FIR9;					
A0A2P9FIS2	A0A2P9FIS2;					
A0A2P9FIS3	A0A2P9FIS3;					
A0A2P9FIS9	A0A2P9FIS9;					
A0A2P9FIT0	A0A2P9FIT0;					
A0A2P9FIT1	A0A2P9FIT1;					
A0A2P9FIU0	A0A2P9FIU0;					
A0A2P9FIU1	A0A2P9FIU1;					
A0A2P9FIU2	A0A2P9FIU2;					
A0A2P9FIU9	A0A2P9FIU9;					
A0A2P9G7J9	A0A2P9G7J9;					
A0A2P9G7K1	A0A2P9G7K1;					
A0A2P9G7K4	A0A2P9G7K4;					
A0A2P9G7K9	A0A2P9G7K9;					
A0A2P9G7L0	A0A2P9G7L0;					
A0A2P9G7L9	A0A2P9G7L9;					
A0A2P9G7M0	A0A2P9G7M0;					
A0A2P9G7M5	A0A2P9G7M5;					
A0A2P9G7M6	A0A2P9G7M6;					
A0A2P9G7M9	A0A2P9G7M9;					
A0A2P9G7N4	A0A2P9G7N4;					
A0A2P9G7N6	A0A2P9G7N6;					
A0A2P9G7N8	A0A2P9G7N8;					
A0A2P9G7P0	A0A2P9G7P0;					
A0A2P9G7P3	A0A2P9G7P3;					
A0A2P9G7P5	A0A2P9G7P5;					
A0A2P9G7P9	A0A2P9G7P9;					
A0A2P9G7Q0	A0A2P9G7Q0;					
A0A2P9G7Q1	A0A2P9G7Q1;					
A0A2P9G7Q5	A0A2P9G7Q5;					
A0A2P9G7Q7	A0A2P9G7Q7;					
A0A2P9G7Q8	A0A2P9G7Q8;					
A0A2P9G7Q9	A0A2P9G7Q9;					
A0A2P9G7R0	A0A2P9G7R0;					
A0A2P9G7R1	A0A2P9G7R1;					
A0A2P9G7S3	A0A2P9G7S3;					
A0A2P9G7S4	A0A2P9G7S4;					
A0A2P9G7S7	A0A2P9G7S7;					
A0A2P9G7T2	A0A2P9G7T2;					
A0A2P9G7T4	A0A2P9G7T4;					
A0A2P9G7T9	A0A2P9G7T9;					
A0A2P9G7U9	A0A2P9G7U9;					
A0A2P9G7V4	A0A2P9G7V4;					
A0A2P9G7V9	A0A2P9G7V9;					
A0A2P9G7W2	A0A2P9G7W2;					
A0A2Q2SV78	A0A2Q2SV78;		ENST00000507379.5;			
A0A2Q2TCK2	A0A2Q2TCK2;		ENST00000536861;			
A0A2Q3DP09			ENST00000349938.8;ENST00000683575.1;ENST00000684432.1;ENST00000684718.1;			
A0A2Q3DQE3			ENST00000322680.7;			
A0A2R2Y2Q3			ENST00000368530.7;			
A0A2R3STY5	A0A2R3STY5;					
A0A2R3U9Y9	A0A2R3U9Y9;					
A0A2R3WH08	A0A2R3WH08;					
A0A2R3XWA5	A0A2R3XWA5;					
A0A2R3XWA6	A0A2R3XWA6;					
A0A2R3XWC8	A0A2R3XWC8;					
A0A2R3XWF7	A0A2R3XWF7;					
A0A2R3XZB7						
A0A2R4CIF1						
A0A2R4FYJ5	A0A2R4FYJ5;					
A0A2R4FYN0	A0A2R4FYN0;					
A0A2R4FYN5	A0A2R4FYN5;					
A0A2R4KP97	A0A2R4KP97;					
A0A2R4KP99	A0A2R4KP99;					
A0A2R4KPA1	A0A2R4KPA1;					
A0A2R4KPA3	A0A2R4KPA3;					
A0A2R4KPA5	A0A2R4KPA5;					
A0A2R4KPA8	A0A2R4KPA8;					
A0A2R4KPA9	A0A2R4KPA9;					
A0A2R4KPB1	A0A2R4KPB1;					
A0A2R4KPB4	A0A2R4KPB4;					
A0A2R4KPB5	A0A2R4KPB5;					
A0A2R4KPB7	A0A2R4KPB7;					
A0A2R4KPD2	A0A2R4KPD2;					
A0A2R4KPE1	A0A2R4KPE1;					
A0A2R4KPE2	A0A2R4KPE2;					
A0A2R4KPE3	A0A2R4KPE3;					
A0A2R4LFC5	A0A2R4LFC5;					
A0A2R4LFK0	A0A2R4LFK0;					
A0A2R4LG35	A0A2R4LG35;					
A0A2R4QL68	A0A2R4QL68;					
A0A2R4QL69	A0A2R4QL69;					
A0A2R4QL71	A0A2R4QL71;					
A0A2R4QL99	A0A2R4QL99;					
A0A2R4QLB0	A0A2R4QLB0;					
A0A2R4SAB0	A0A2R4SAB0;					
A0A2R4SAB3	A0A2R4SAB3;					
A0A2R4SAB4	A0A2R4SAB4;					
A0A2R4SDD6	A0A2R4SDD6;					
A0A2R4SEG2	A0A2R4SEG2;					
A0A2R7Z5J3	A0A2R7Z5J3;	6Y27;6Y29;6Y2B;7ALO;				
A0A2R8BPX5	A0A2R8BPX5;					
A0A2R8Y211	A0A2R8Y211;		ENST00000646311.1;			
A0A2R8Y214	A0A2R8Y214;		ENST00000644821.1;			
