Entry	AlphaFoldDB	PDB	Ensembl
Q9CQV7	Q9CQV7;		ENSMUST00000108195.10 [Q9CQV7-1];ENSMUST00000117223.4 [Q9CQV7-3];
Q9CQV8	Q9CQV8;	4GNT;5F74;5WFU;5WFX;	ENSMUST00000018470.10 [Q9CQV8-1];
Q9CQW1	Q9CQW1;		ENSMUST00000002818.9;
Q9CQW2	Q9CQW2;		ENSMUST00000032196.9;
Q9CQW7	Q9CQW7;		ENSMUST00000040519.12 [Q9CQW7-1];ENSMUST00000163220.10 [Q9CQW7-2];
Q9CQW9	Q9CQW9;		ENSMUST00000026565.7;
Q9CQY1	Q9CQY1;		ENSMUST00000035648.6;
Q9CQY6	Q9CQY6;		ENSMUST00000025045.15;
Q9CR14	Q9CR14;		ENSMUST00000004120.9 [Q9CR14-1];ENSMUST00000109509.8 [Q9CR14-2];
Q9CR16	Q9CR16;		ENSMUST00000029382.13;
Q9CR21	Q9CR21;	6G2J;6G72;6ZR2;6ZTQ;7AK5;7AK6;7B93;7PSA;8C2S;8CA3;8CA5;8IAO;8IAP;8IAQ;8IB4;8IB5;8IB6;8IB9;8IBA;8IBB;8IBD;8IBE;8IBF;8IC2;8IC3;8IC4;8OLT;8OM1;8PW5;8PW6;8PW7;8RGP;8RGQ;8RGR;8RGT;	ENSMUST00000033157.10;ENSMUST00000123296.8;
Q9CR23	Q9CR23;		ENSMUST00000063719.15;ENSMUST00000117950.2;ENSMUST00000165125.8;
Q9CR24	Q9CR24;		ENSMUST00000025802.10;ENSMUST00000155405.8;
Q9CR42	Q9CR42;		ENSMUST00000237142.2;
Q9CR50	Q9CR50;	2DKT;2ECM;	ENSMUST00000031345.15;
Q9CR51	Q9CR51;		ENSMUST00000035301.7;
Q9CR53	Q9CR53;		ENSMUST00000026817.11;
Q9CR57	Q9CR57;	6SWA;7CPU;7CPV;7LS1;7LS2;	ENSMUST00000165532.3;
Q9CR58	Q9CR58;		ENSMUST00000022580.8;
Q9CR61	Q9CR61;	6G2J;6G72;6ZR2;6ZTQ;7AK5;7AK6;7B93;7PSA;8C2S;8CA3;8CA5;8IAO;8IAQ;8IB4;8IB6;8IB9;8IBB;8IBD;8IBF;8IC2;8IC4;8OLT;8OM1;8PW5;8PW6;8PW7;8RGP;8RGQ;8RGR;8RGT;	ENSMUST00000036996.6;
Q9CR62	Q9CR62;		ENSMUST00000014750.15;
Q9CR68	Q9CR68;	7O37;8IAO;8IAR;8IB4;8IB7;8IB9;8IBC;8IBD;8IBG;8IC2;8IC5;8PW5;8PW6;8PW7;	ENSMUST00000042834.4;
Q9CR75	Q9CR75;		ENSMUST00000024698.10;
Q9CR84	Q9CR84;		ENSMUST00000090541.12;ENSMUST00000107684.2;ENSMUST00000107686.8;
Q9CR95	Q9CR95;	1TQZ;	ENSMUST00000032477.6;
Q9CRA5	Q9CRA5;		ENSMUST00000059680.7 [Q9CRA5-1];ENSMUST00000226517.2 [Q9CRA5-2];
Q9CRB3	Q9CRB3;		ENSMUST00000026554.11;ENSMUST00000185612.3;ENSMUST00000211372.2;
Q9CRB9	Q9CRB9;		ENSMUST00000066379.11;
Q9CRC0	Q9CRC0;		ENSMUST00000033074.8;
Q9CRD0	Q9CRD0;		ENSMUST00000031038.11 [Q9CRD0-1];ENSMUST00000071081.13 [Q9CRD0-3];ENSMUST00000166823.5 [Q9CRD0-3];ENSMUST00000200935.4 [Q9CRD0-2];ENSMUST00000202250.4 [Q9CRD0-3];
Q9CRY7	Q9CRY7;		ENSMUST00000020804.8;
Q9CRZ8	Q9CRZ8;		ENSMUST00000024794.12;
Q9CS42	Q9CS42;		ENSMUST00000026839.5;
Q9CS84	Q9CS84;	3BOD;3MW2;6PNP;6PNQ;	ENSMUST00000054059.15 [Q9CS84-3];ENSMUST00000072671.14 [Q9CS84-4];ENSMUST00000160844.10 [Q9CS84-2];ENSMUST00000161402.10 [Q9CS84-1];ENSMUST00000174331.8 [Q9CS84-5];ENSMUST00000197268.5 [Q9CS84-6];
Q9CSH3	Q9CSH3;		ENSMUST00000042471.11;
Q9CSN1	Q9CSN1;		
Q9CTA9	Q9CTA9;		
Q9CTG6	Q9CTG6;		ENSMUST00000037055.14;
Q9CTN5	Q9CTN5;		ENSMUST00000044000.12 [Q9CTN5-1];ENSMUST00000131033.8 [Q9CTN5-2];
Q9CTW2	Q9CTW2;		
Q9CTY5	Q9CTY5;		ENSMUST00000068999.14;
Q9CU62	Q9CU62;	2WD5;7DG5;	ENSMUST00000045312.6;
Q9CUN6	Q9CUN6;		ENSMUST00000085684.11;
Q9CUS9	Q9CUS9;		ENSMUST00000031530.9;
Q9CUU3	Q9CUU3;	5IWZ;	ENSMUST00000081134.10;
Q9CV60	Q9CV60;		ENSMUST00000020090.8;
Q9CVB6	Q9CVB6;	7AQK;	ENSMUST00000006467.14;ENSMUST00000113820.9;
Q9CVD2	Q9CVD2;		ENSMUST00000021606.12;
Q9CW03	Q9CW03;	2WD5;7DG5;	ENSMUST00000025930.10;
Q9CW42	Q9CW42;		ENSMUST00000048462.13;
Q9CW73	Q9CW73;		ENSMUST00000115269.9 [Q9CW73-2];ENSMUST00000159799.8 [Q9CW73-2];ENSMUST00000160899.8 [Q9CW73-2];ENSMUST00000161115.8 [Q9CW73-1];ENSMUST00000161431.3 [Q9CW73-1];
Q9CWE6	Q9CWE6;	8H93;8H94;8H95;8H96;8XI3;	ENSMUST00000034900.8;
Q9CWF2	Q9CWF2;		ENSMUST00000075774.5;
Q9CWF6	Q9CWF6;		ENSMUST00000034206.6;
Q9CWG8	Q9CWG8;		ENSMUST00000024887.6 [Q9CWG8-1];ENSMUST00000233068.2 [Q9CWG8-2];
Q9CWG9	Q9CWG9;		ENSMUST00000079033.6;
Q9CWH0	Q9CWH0;		ENSMUST00000097175.5;ENSMUST00000232448.2;
Q9CWH4	Q9CWH4;	6HFG;6NXF;7QWV;	ENSMUST00000098674.6;
Q9CWH6	Q9CWH6;		ENSMUST00000040860.3;
Q9CWI3	Q9CWI3;		ENSMUST00000033282.5;
Q9CWJ9	Q9CWJ9;		ENSMUST00000027384.6;
Q9CWK8	Q9CWK8;		ENSMUST00000037850.7;
Q9CWL2	Q9CWL2;		ENSMUST00000094464.10 [Q9CWL2-2];
Q9CWP4	Q9CWP4;		ENSMUST00000060301.6;ENSMUST00000168815.8;
Q9CWR0	Q9CWR0;		
Q9CWR2	Q9CWR2;		ENSMUST00000128302.8;
Q9CWR8	Q9CWR8;		ENSMUST00000000746.12;ENSMUST00000138785.8;ENSMUST00000151242.8;
Q9CWS0	Q9CWS0;		ENSMUST00000029845.15;
Q9CWS1	Q9CWS1;		ENSMUST00000017839.3 [Q9CWS1-1];
Q9CWT2	Q9CWT2;		ENSMUST00000116527.2;
Q9CWT3	Q9CWT3;		ENSMUST00000049152.15;ENSMUST00000114439.8;ENSMUST00000179365.8;
Q9CWU0	Q9CWU0;		ENSMUST00000032701.14 [Q9CWU0-2];
Q9CWU2	Q9CWU2;		ENSMUST00000118927.8;
Q9CWU5	Q9CWU5;	3V69;	ENSMUST00000034737.13 [Q9CWU5-1];ENSMUST00000167514.2 [Q9CWU5-3];ENSMUST00000173734.9 [Q9CWU5-2];
Q9CWV1	Q9CWV1;		ENSMUST00000028831.15 [Q9CWV1-1];ENSMUST00000066559.6 [Q9CWV1-2];
Q9CWV6	Q9CWV6;		ENSMUST00000151786.8;
Q9CWW7	Q9CWW7;		ENSMUST00000025444.8;
Q9CWY3	Q9CWY3;		ENSMUST00000034096.6;
Q9CWY8	Q9CWY8;	3KIO;3P5J;	ENSMUST00000109736.9;ENSMUST00000109738.10;ENSMUST00000147812.8;
Q9CWZ3	Q9CWZ3;		ENSMUST00000048915.11 [Q9CWZ3-2];ENSMUST00000196456.5 [Q9CWZ3-1];
Q9CX30	Q9CX30;		ENSMUST00000032809.10 [Q9CX30-1];ENSMUST00000108238.8 [Q9CX30-2];
Q9CX34	Q9CX34;		ENSMUST00000054908.10;
Q9CX47	Q9CX47;		ENSMUST00000030773.12;
Q9CX60	Q9CX60;		ENSMUST00000024857.14;
Q9CX80	Q9CX80;		ENSMUST00000021166.6;
Q9CX86	Q9CX86;		ENSMUST00000007980.7;
Q9CX92	Q9CX92;		ENSMUST00000020016.5;
Q9CXB2	Q9CXB2;		ENSMUST00000031263.2;
Q9CXB8	Q9CXB8;		
Q9CXC9	Q9CXC9;		ENSMUST00000079601.13;
Q9CXF0	Q9CXF0;		ENSMUST00000028223.10;ENSMUST00000240759.1;
Q9CXF7	Q9CXF7;		ENSMUST00000029730.5 [Q9CXF7-1];
Q9CXG9	Q9CXG9;		ENSMUST00000028232.7;
Q9CXH7	Q9CXH7;		ENSMUST00000024736.14 [Q9CXH7-1];
Q9CXI5	Q9CXI5;	2RQY;6H9U;6HA7;	ENSMUST00000159283.8;
Q9CXJ4	Q9CXJ4;		ENSMUST00000073076.12;ENSMUST00000115077.8;
Q9CXL7	Q9CXL7;		ENSMUST00000027476.6;
Q9CXM0	Q9CXM0;		ENSMUST00000023568.14 [Q9CXM0-1];ENSMUST00000069148.13 [Q9CXM0-2];
Q9CXS4	Q9CXS4;		ENSMUST00000018653.8 [Q9CXS4-1];
Q9CXT6	Q9CXT6;		ENSMUST00000033010.9;
Q9CXV0	Q9CXV0;	3MMK;6CME;	ENSMUST00000034869.11;
Q9CXV1	Q9CXV1;		ENSMUST00000000175.6;
Q9CXV9	Q9CXV9;		ENSMUST00000215683.2;
Q9CXW3	Q9CXW3;	1YSM;2JTT;	ENSMUST00000014370.11;
Q9CXW4	Q9CXW4;	6SWA;7CPU;7CPV;7LS1;7LS2;	ENSMUST00000102536.11;
Q9CXY1	Q9CXY1;		ENSMUST00000063272.13;ENSMUST00000078323.13;ENSMUST00000120327.3;
Q9CXY6	Q9CXY6;	4AT7;4AT8;4AT9;4ATB;	ENSMUST00000001042.10;
Q9CXZ1	Q9CXZ1;	6G2J;6G72;6ZR2;6ZTQ;7AK5;7AK6;7B93;7PSA;8IAO;8IAP;8IB4;8IB5;8IB9;8IBA;8IBD;8IBE;8IC2;8IC3;8OLT;8OM1;8PW5;8PW6;8PW7;8RGP;8RGQ;8RGR;8RGT;	
Q9CY27	Q9CY27;		ENSMUST00000019382.17;
Q9CY57	Q9CY57;		ENSMUST00000001043.14 [Q9CY57-2];ENSMUST00000049937.13 [Q9CY57-1];ENSMUST00000076639.11 [Q9CY57-3];ENSMUST00000107342.2 [Q9CY57-5];ENSMUST00000107343.8 [Q9CY57-4];ENSMUST00000107344.8 [Q9CY57-2];
Q9CY58	Q9CY58;	7LS1;7LS2;	ENSMUST00000042990.7 [Q9CY58-1];ENSMUST00000203077.3 [Q9CY58-2];ENSMUST00000204293.3 [Q9CY58-3];
Q9CY97	Q9CY97;		ENSMUST00000030905.9 [Q9CY97-1];ENSMUST00000105595.2 [Q9CY97-2];
Q9CYA0	Q9CYA0;		ENSMUST00000024042.5;
Q9CYB0	Q9CYB0;		ENSMUST00000039562.8;ENSMUST00000165015.9;
Q9CYC6	Q9CYC6;		ENSMUST00000025350.10;
Q9CYK2	Q9CYK2;	3SI1;3SI2;	
Q9CYN9	Q9CYN9;	9BRA;9BRQ;9BRR;9BRS;9BRT;9BRU;9BRY;9BRZ;	ENSMUST00000033313.3;
Q9CYP7	Q9CYP7;		ENSMUST00000208222.2;
Q9CYV5	Q9CYV5;		ENSMUST00000041968.11;
Q9CZ13	Q9CZ13;	7O37;7O3C;7O3E;7O3H;8IAO;8IAR;8IB4;8IB7;8IB9;8IBC;8IBD;8IBG;8IC2;8IC5;8PW5;8PW6;8PW7;	ENSMUST00000026743.14;
Q9CZ16	Q9CZ16;		ENSMUST00000025092.5;
Q9CZ28	Q9CZ28;		ENSMUST00000006217.10;
Q9CZ42	Q9CZ42;		
Q9CZ52	Q9CZ52;		ENSMUST00000042025.12 [Q9CZ52-1];ENSMUST00000204805.3 [Q9CZ52-2];
Q9CZ57	Q9CZ57;		ENSMUST00000030475.3 [Q9CZ57-1];
Q9CZA5	Q9CZA5;		ENSMUST00000048067.10;ENSMUST00000115256.2;ENSMUST00000115257.8;ENSMUST00000115258.9;
Q9CZA6	Q9CZA6;		ENSMUST00000023359.13 [Q9CZA6-1];ENSMUST00000115795.9 [Q9CZA6-2];ENSMUST00000117958.8 [Q9CZA6-3];
Q9CZD0	Q9CZD0;		ENSMUST00000030453.5;
Q9CZD3	Q9CZD3;		ENSMUST00000003572.10;
Q9CZE3	Q9CZE3;		ENSMUST00000019974.5;
Q9CZJ6	Q9CZJ6;		ENSMUST00000099554.5;
Q9CZK6	Q9CZK6;		ENSMUST00000023157.6;
Q9CZM2	Q9CZM2;	6SWA;7CPU;7CPV;7LS1;7LS2;	ENSMUST00000079419.12;ENSMUST00000080281.14;ENSMUST00000100799.9;ENSMUST00000112598.9;
Q9CZN4	Q9CZN4;		ENSMUST00000170672.9 [Q9CZN4-1];
Q9CZN7	Q9CZN7;		ENSMUST00000026470.6 [Q9CZN7-1];ENSMUST00000219239.2 [Q9CZN7-2];
Q9CZP5	Q9CZP5;	6U1Y;6UKO;6UKP;6UKS;8T14;8T5U;8T7U;8TBY;8TI0;8TP1;8TPL;	ENSMUST00000027358.11;ENSMUST00000113732.2;ENSMUST00000113733.10;
Q9CZR2	Q9CZR2;		ENSMUST00000166825.8;
Q9CZS3	Q9CZS3;		ENSMUST00000023357.14;
Q9CZT5	Q9CZT5;		ENSMUST00000038770.4;
Q9CZT8	Q9CZT8;		ENSMUST00000003502.4;ENSMUST00000106650.9;
Q9CZU3	Q9CZU3;		ENSMUST00000022281.5;
Q9CZV8	Q9CZV8;		ENSMUST00000103143.10 [Q9CZV8-1];
Q9CZW4	Q9CZW4;		ENSMUST00000035779.15;ENSMUST00000142704.8;
Q9CZW5	Q9CZW5;		ENSMUST00000166897.3;
Q9CZW6	Q9CZW6;	1UJR;2RSF;4QPL;	ENSMUST00000037548.11;ENSMUST00000160144.9;ENSMUST00000160372.9;ENSMUST00000162335.8;
Q9CZX0	Q9CZX0;	8AVG;	ENSMUST00000022609.7 [Q9CZX0-2];ENSMUST00000225355.2 [Q9CZX0-1];
Q9CZX5	Q9CZX5;		ENSMUST00000022528.6;
Q9CZX7	Q9CZX7;		ENSMUST00000029875.4;
Q9CZX8	Q9CZX8;	7CPU;7CPV;7LS1;7LS2;	ENSMUST00000108429.8;ENSMUST00000108430.10;
Q9D020	Q9D020;	2BDU;2G06;2G07;2G08;2G09;2G0A;2Q4T;4FE3;4KX3;4KX5;	ENSMUST00000031793.8 [Q9D020-3];ENSMUST00000101367.9 [Q9D020-1];
Q9D024	Q9D024;		ENSMUST00000002043.10 [Q9D024-1];ENSMUST00000106865.8 [Q9D024-3];
Q9D030	Q9D030;		
Q9D032	Q9D032;		ENSMUST00000030367.15 [Q9D032-1];ENSMUST00000072753.13 [Q9D032-2];
Q9D067	Q9D067;		ENSMUST00000020437.13 [Q9D067-1];
Q9D071	Q9D071;	6TBL;6TC0;	ENSMUST00000026168.9 [Q9D071-3];ENSMUST00000171561.8 [Q9D071-1];
Q9D074	Q9D074;		ENSMUST00000023159.10 [Q9D074-3];ENSMUST00000070658.16 [Q9D074-1];ENSMUST00000229038.2 [Q9D074-2];ENSMUST00000230990.2 [Q9D074-4];
Q9D084	Q9D084;		ENSMUST00000030813.10 [Q9D084-1];ENSMUST00000105695.2 [Q9D084-2];
Q9D099	Q9D099;		ENSMUST00000033020.14;
Q9D0C1	Q9D0C1;		ENSMUST00000029740.14;
Q9D0F1	Q9D0F1;		ENSMUST00000024851.10;
Q9D0F3	Q9D0F3;		ENSMUST00000048260.15;ENSMUST00000120461.9;ENSMUST00000236866.2;
Q9D0F4	Q9D0F4;		ENSMUST00000016553.5;
Q9D0I4	Q9D0I4;		ENSMUST00000064765.6;ENSMUST00000107720.9;
Q9D0I9	Q9D0I9;		ENSMUST00000018992.4;
Q9D0J4	Q9D0J4;	1KSG;1KSH;1KSJ;4GOK;	ENSMUST00000025893.7;
Q9D0K1	Q9D0K1;	1WXU;	ENSMUST00000020523.4;
Q9D0L1	Q9D0L1;		ENSMUST00000045909.8;ENSMUST00000221807.2;
Q9D0L8	Q9D0L8;		ENSMUST00000009679.11 [Q9D0L8-1];ENSMUST00000025427.14 [Q9D0L8-3];
Q9D0M3	Q9D0M3;	7O37;7O3C;7O3E;7O3H;8IAO;8IAR;8IB4;8IB7;8IB9;8IBC;8IBD;8IBG;8IC2;8IC5;8PW5;8PW6;8PW7;	ENSMUST00000023210.8 [Q9D0M3-1];
Q9D0P7	Q9D0P7;		ENSMUST00000090561.10;ENSMUST00000102629.8;
Q9D0P8	Q9D0P8;		ENSMUST00000016781.8;
Q9D0R2	Q9D0R2;		ENSMUST00000022849.7;
Q9D0R4	Q9D0R4;		ENSMUST00000004507.11;
Q9D0T1	Q9D0T1;		ENSMUST00000080622.9;
Q9D0T2	Q9D0T2;		ENSMUST00000027970.14;
Q9D0U6	Q9D0U6;		ENSMUST00000023212.15;ENSMUST00000160853.8;ENSMUST00000161527.8;
Q9D0W5	Q9D0W5;		ENSMUST00000024802.10;
Q9D0Z3	Q9D0Z3;		ENSMUST00000062824.12 [Q9D0Z3-1];ENSMUST00000106433.2 [Q9D0Z3-3];ENSMUST00000106434.8 [Q9D0Z3-2];
Q9D103	Q9D103;		ENSMUST00000026564.9;ENSMUST00000106040.8;ENSMUST00000106042.9;
Q9D154	Q9D154;		ENSMUST00000076352.8;
Q9D198	Q9D198;		ENSMUST00000030622.3;
Q9D1A2	Q9D1A2;	2ZOF;2ZOG;	ENSMUST00000025546.17;ENSMUST00000168419.3;
Q9D1C1	Q9D1C1;		ENSMUST00000088248.13;
Q9D1C2	Q9D1C2;		ENSMUST00000023064.9;
Q9D1D4	Q9D1D4;		ENSMUST00000040766.9 [Q9D1D4-1];
Q9D1D6	Q9D1D6;		ENSMUST00000067072.5;
Q9D1E5	Q9D1E5;		ENSMUST00000023736.10 [Q9D1E5-1];
Q9D1E6	Q9D1E6;	1V6E;1WHG;	ENSMUST00000006254.6;
Q9D1E8	Q9D1E8;		ENSMUST00000149565.8;
Q9D1F9			ENSMUST00000165839.3;ENSMUST00000213388.2;ENSMUST00000215420.2;
Q9D1G1	Q9D1G1;		ENSMUST00000025804.7;
Q9D1M0	Q9D1M0;		ENSMUST00000032440.6;
Q9D1M4	Q9D1M4;		ENSMUST00000001757.9;
Q9D1N2	Q9D1N2;		ENSMUST00000023243.11;
Q9D1N4	Q9D1N4;	8T03;8T04;8T06;8T07;	ENSMUST00000009358.9;
Q9D1P2	Q9D1P2;	1WGS;	ENSMUST00000033070.9 [Q9D1P2-1];
Q9D1P4	Q9D1P4;		ENSMUST00000001825.9;
Q9D1Q6	Q9D1Q6;		ENSMUST00000030028.5;
Q9D1R9	Q9D1R9;	6SWA;7CPU;7CPV;7LS1;7LS2;	ENSMUST00000062601.14;ENSMUST00000079085.11;ENSMUST00000196202.5;
Q9D1T0	Q9D1T0;		ENSMUST00000053568.2;ENSMUST00000114247.2;ENSMUST00000210032.2;
Q9D1X0	Q9D1X0;		ENSMUST00000014920.8;
Q9D1Z3	Q9D1Z3;		ENSMUST00000042702.7;
Q9D219	Q9D219;		ENSMUST00000046521.14;ENSMUST00000166341.2;
Q9D236	Q9D236;		ENSMUST00000087629.10 [Q9D236-3];ENSMUST00000114233.3 [Q9D236-4];
Q9D244	Q9D244;		
Q9D270	Q9D270;		ENSMUST00000030110.15;ENSMUST00000107239.8;
Q9D275	Q9D275;		ENSMUST00000027943.6;
Q9D281	Q9D281;		ENSMUST00000031080.15;
Q9D287	Q9D287;		ENSMUST00000005830.15;
Q9D2A5	Q9D2A5;		ENSMUST00000029547.10 [Q9D2A5-1];ENSMUST00000107369.2 [Q9D2A5-1];
Q9D2C7	Q9D2C7;		ENSMUST00000023749.15;ENSMUST00000159209.8;ENSMUST00000159531.3;ENSMUST00000160635.8;ENSMUST00000161250.8;
Q9D2E1	Q9D2E1;		ENSMUST00000000421.6;
Q9D2G2	Q9D2G2;		ENSMUST00000053811.10 [Q9D2G2-1];ENSMUST00000221357.2 [Q9D2G2-1];
Q9D2G5	Q9D2G5;		ENSMUST00000061091.14 [Q9D2G5-6];ENSMUST00000080283.13 [Q9D2G5-1];
Q9D2H2	Q9D2H2;		
Q9D2I5	Q9D2I5;		ENSMUST00000027434.15 [Q9D2I5-1];ENSMUST00000113309.9 [Q9D2I5-3];ENSMUST00000131412.8 [Q9D2I5-2];
Q9D2L1	Q9D2L1;		ENSMUST00000239063.2;
Q9D2L6	Q9D2L6;		
Q9D2N4	Q9D2N4;		ENSMUST00000047954.15 [Q9D2N4-6];
Q9D2N8	Q9D2N8;		ENSMUST00000022460.11;
Q9D2N9	Q9D2N9;		ENSMUST00000031388.13;
Q9D2U9	Q9D2U9;	1U35;2F8N;5B1L;5B1M;5XM0;5XM1;7DBH;7VBM;	ENSMUST00000078267.5;
Q9D2V6			ENSMUST00000057167.9;ENSMUST00000225259.2;
Q9D2V7	Q9D2V7;		ENSMUST00000038552.13;
Q9D2Y4	Q9D2Y4;	4BTF;4M68;4M69;	ENSMUST00000056157.14 [Q9D2Y4-1];ENSMUST00000120432.3 [Q9D2Y4-2];
Q9D2Y5	Q9D2Y5;		
Q9D2Y9	Q9D2Y9;		ENSMUST00000022207.10;
Q9D2Z1	Q9D2Z1;		ENSMUST00000094753.6;
Q9D304	Q9D304;		ENSMUST00000113026.2;
Q9D309	Q9D309;	2YOP;2YOQ;	ENSMUST00000049721.9;
Q9D312	Q9D312;		ENSMUST00000017743.3;
Q9D328	Q9D328;		ENSMUST00000037687.8;
Q9D358	Q9D358;	2P4U;5JNU;	ENSMUST00000062740.15 [Q9D358-1];
Q9D379	Q9D379;		ENSMUST00000036928.12;
Q9D387	Q9D387;		ENSMUST00000057503.7;
Q9D394	Q9D394;	2CXF;2CXL;2DWG;2DWK;	ENSMUST00000031229.11 [Q9D394-1];ENSMUST00000196686.2 [Q9D394-3];ENSMUST00000196894.5 [Q9D394-4];ENSMUST00000199312.5 [Q9D394-3];
Q9D3A8	Q9D3A8;		ENSMUST00000160456.8 [Q9D3A8-1];
Q9D3A9	Q9D3A9;		ENSMUST00000079415.12 [Q9D3A9-4];ENSMUST00000119661.8 [Q9D3A9-1];ENSMUST00000129423.8 [Q9D3A9-1];
Q9D3B1	Q9D3B1;		ENSMUST00000061156.10;
Q9D3F7	Q9D3F7;		ENSMUST00000020308.5;
Q9D3G2	Q9D3G2;		
Q9D3G9	Q9D3G9;		ENSMUST00000031106.8;ENSMUST00000201533.2;
Q9D3N2	Q9D3N2;		ENSMUST00000090277.3 [Q9D3N2-1];ENSMUST00000228998.2 [Q9D3N2-3];ENSMUST00000229121.2 [Q9D3N2-2];ENSMUST00000229825.2 [Q9D3N2-4];
Q9D3R9	Q9D3R9;		ENSMUST00000009740.9 [Q9D3R9-1];
Q9D3U0	Q9D3U0;		ENSMUST00000020520.11;ENSMUST00000058163.11;ENSMUST00000109525.8;
Q9D411	Q9D411;		ENSMUST00000007735.9 [Q9D411-3];ENSMUST00000164809.9 [Q9D411-4];ENSMUST00000226591.2 [Q9D411-1];ENSMUST00000228395.2 [Q9D411-2];
Q9D415	Q9D415;	7YKH;7YKI;	ENSMUST00000060072.12 [Q9D415-2];ENSMUST00000133983.8 [Q9D415-2];ENSMUST00000135938.8 [Q9D415-3];ENSMUST00000155016.8 [Q9D415-1];
Q9D424	Q9D424;		ENSMUST00000080415.11 [Q9D424-1];ENSMUST00000115857.9 [Q9D424-1];ENSMUST00000119108.8 [Q9D424-3];ENSMUST00000121018.8 [Q9D424-2];ENSMUST00000150758.8 [Q9D424-1];ENSMUST00000186263.2 [Q9D424-1];ENSMUST00000191078.7 [Q9D424-1];ENSMUST00000234735.2 [Q9D424-2];
Q9D439	Q9D439;	8I7R;8IYJ;8TO0;	ENSMUST00000114895.4 [Q9D439-1];
Q9D489	Q9D489;		ENSMUST00000029369.5;
Q9D494	Q9D494;		ENSMUST00000028661.6;
Q9D4B1	Q9D4B1;		ENSMUST00000090246.5;
Q9D4B2	Q9D4B2;		ENSMUST00000092684.12;
Q9D4F2	Q9D4F2;		ENSMUST00000045674.4;
Q9D4G2	Q9D4G2;	7Z8Z;	ENSMUST00000002145.12;ENSMUST00000238192.2;
Q9D4H4	Q9D4H4;		ENSMUST00000013220.8 [Q9D4H4-1];
Q9D4H8	Q9D4H8;		ENSMUST00000025073.12 [Q9D4H8-2];ENSMUST00000162301.8 [Q9D4H8-1];
Q9D4H9	Q9D4H9;		ENSMUST00000090632.11 [Q9D4H9-3];ENSMUST00000115511.9 [Q9D4H9-2];
Q9D4I2	Q9D4I2;		ENSMUST00000089178.11 [Q9D4I2-1];ENSMUST00000188048.7 [Q9D4I2-2];ENSMUST00000189540.7 [Q9D4I2-2];
Q9D4J7	Q9D4J7;		ENSMUST00000078944.13 [Q9D4J7-1];ENSMUST00000154864.4 [Q9D4J7-2];
Q9D4M9	Q9D4M9;		ENSMUST00000030778.9;
Q9D4R2	Q9D4R2;		ENSMUST00000038692.6 [Q9D4R2-1];
Q9D4V7	Q9D4V7;	6VIH;6VII;6VIJ;6VIK;	ENSMUST00000023524.13 [Q9D4V7-1];ENSMUST00000130028.2 [Q9D4V7-2];
Q9D513	Q9D513;		ENSMUST00000024972.7;
Q9D517	Q9D517;		ENSMUST00000001240.12;ENSMUST00000105387.8;ENSMUST00000105388.8;ENSMUST00000105389.8;ENSMUST00000105390.8;ENSMUST00000166360.8;
Q9D5A0	Q9D5A0;		ENSMUST00000056949.5;
Q9D5A9	Q9D5A9;		
Q9D5J6	Q9D5J6;		ENSMUST00000006105.7;
Q9D5S1	Q9D5S1;		ENSMUST00000039146.4;
Q9D5S7	Q9D5S7;		ENSMUST00000070189.10;
Q9D5T0	Q9D5T0;		ENSMUST00000070210.6;ENSMUST00000235412.2;ENSMUST00000236011.2;ENSMUST00000236985.2;
Q9D5T7	Q9D5T7;		ENSMUST00000029754.13 [Q9D5T7-1];ENSMUST00000090797.11 [Q9D5T7-2];ENSMUST00000107154.4 [Q9D5T7-2];ENSMUST00000171191.6 [Q9D5T7-2];
Q9D5V2	Q9D5V2;		ENSMUST00000001599.4;
Q9D5V5	Q9D5V5;	2WZK;	
Q9D5V6	Q9D5V6;		ENSMUST00000033723.4;
Q9D5Y1	Q9D5Y1;		ENSMUST00000029222.8;
Q9D611	Q9D611;		ENSMUST00000029213.5;
Q9D658	Q9D658;		ENSMUST00000053232.8;ENSMUST00000163582.9;ENSMUST00000165541.8;ENSMUST00000230177.2;
Q9D659	Q9D659;		ENSMUST00000105460.8;
Q9D666	Q9D666;	5YWZ;	ENSMUST00000058716.14 [Q9D666-1];ENSMUST00000078690.13 [Q9D666-4];ENSMUST00000110882.8 [Q9D666-5];ENSMUST00000110883.9 [Q9D666-2];ENSMUST00000110884.9 [Q9D666-3];
Q9D687	Q9D687;		ENSMUST00000022048.6;
Q9D6F4	Q9D6F4;		ENSMUST00000031121.10;
Q9D6F9	Q9D6F9;		ENSMUST00000071135.6;
Q9D6H2	Q9D6H2;		ENSMUST00000046558.8;ENSMUST00000106749.8;ENSMUST00000152717.8;
Q9D6J1	Q9D6J1;		ENSMUST00000008350.16;
Q9D6J6	Q9D6J6;	6G2J;6G72;6ZR2;6ZTQ;7AK5;7AK6;7B93;7PSA;8C2S;8CA3;8CA4;8CA5;8IAO;8IAP;8IB4;8IB5;8IB9;8IBA;8IBD;8IBE;8IC2;8IC3;8OLT;8OM1;8PW5;8PW6;8PW7;8RGP;8RGQ;8RGR;8RGT;	ENSMUST00000024909.15 [Q9D6J6-2];ENSMUST00000143987.9 [Q9D6J6-1];
